Which program are you currently in?
What do you do for (paid) work?
Which research areas/groups are you currently working in?
What gender do you identify with?
Do you identify as a member of the LGBTQIA+ community?
What is your race?
Are you of Hispanic, Latino, or Spanish origin?
Please indicate which of the core courses and comprehensive exams have you already taken.
I am happy in the department.
Please elaborate.
I feel that I belong here.
Please elaborate.
The department provides an adequate sense of community.
Please elaborate.
I feel the requirements for my degree are reasonable.
I feel the breadth courses provide a wide variety of topics.
Please elaborate: Which additional topic(s) would you suggest the department offer courses in?
The core courses adequately prepared me for taking the comps. [CM]
The core courses adequately prepared me for taking the comps. [EM]
The core courses adequately prepared me for taking the comps. [QM I]
The core courses adequately prepared me for taking the comps. [QM II]
The core courses adequately prepared me for taking the comps. [SM]
The material I learned in the core courses (as it was taught to me) is applicable to my research. [CM]
The material I learned in the core courses (as it was taught to me) is applicable to my research. [EM]
The material I learned in the core courses (as it was taught to me) is applicable to my research. [QM I]
The material I learned in the core courses (as it was taught to me) is applicable to my research. [QM II]
The material I learned in the core courses (as it was taught to me) is applicable to my research. [SM]
I feel financially stable.
Please estimate how many hours per week you spend on activities related to your program (lectures, homework, seminars, colloquium, teaching, office hours, grading, and research).
I feel I have adequate time to spend on my mental and physical health (e.g., exercise, therapy, doctor visits).
Please elaborate and estimate how many hours per week you spend on activities for your mental and physical health.
I feel I have adequate time to spend on recreational activities.
Please elaborate and estimate how many hours per week you spend on recreational activities.
Do you want to answer 4 questions regarding diversity, culture, and sense of belonging?
Do you want to answer 7 questions on courses?
The department-wide events (e.g., Summer BBQs, beach picnic, winter holiday party, soccer tournament, etc.) help me to connect with my peers and professors.
The PGSA events (Halloween party, movie nights, tea time, game night, etc.) help me to connect with my peers.
How frequently have you been in contact with your faculty mentor?
How frequently have you been in contact with your assigned student mentor?
Do you want to answer 7 questions on courses?
Do you want to answer 5 questions on the comprehensive exams?
I feel the seminar courses help me become better at communicating science research.
I feel the Graduate Lab/Astronomy Lab sufficiently taught me experimental/observational techniques and data analysis.
I feel the workload from my degree requirements (required courses) impedes my ability to take courses more relevant to my research.
My undergraduate education prepared me for understanding and solving problems conceptually in graduate courses.
My undergraduate education prepared me for understanding and solving problems mathematically in graduate courses.
I feel the syllabi of the courses fairly represented the prerequisites necessary for succeeding in the courses.
I feel the syllabi of the courses fairly represented what I was taught during the courses.
Do you want to answer 5 questions on the comprehensive exams?
Do you want to answer 4 questions on physical and mental health?
I feel the comprehensive exams are fair tests of the material from the core courses.
Are the comps offered at a good time?
If not, please elaborate.
How much time do/did you spend on average preparing for each comprehensive exam?
Do you want to answer 4 questions on physical and mental health?
Do you want to answer 5 questions on financial stability?
How many hours a do you sleep at night?
How would you rate your mental health?
How would you rate your physical health?
I feel there is enough downtime/breaks during the year.
Do you want to answer 5 questions on financial stability?
Approximately, how much do you make in monthly income?
Do you hold any positions outside of the department to support yourself?
If you hold positions outside of the department to support yourself, would you be able to support yourself without this/these position(s)?
Approximately what percentage of your income do you spend on necessities (e.g. rent/utilities, food, etc.)?
I feel my stipend (from the department, Research Foundation, etc.) alone is enough for me to be financially stable.
Please rate your knowledge of the core physics subject on a scale 1-10 at the start of your program at SBU, after taking the relative core course(s), after passing the comprehensive exam. [CM at start ]
Please rate your knowledge of the core physics subject on a scale 1-10 at the start of your program at SBU, after taking the relative core course(s), after passing the comprehensive exam. [CM after core course]
Please rate your knowledge of the core physics subject on a scale 1-10 at the start of your program at SBU, after taking the relative core course(s), after passing the comprehensive exam. [CM after comprehensive exam]
Please rate your knowledge of the core physics subject on a scale 1-10 at the start of your program at SBU, after taking the relative core course(s), after passing the comprehensive exam. [EM at start]
Please rate your knowledge of the core physics subject on a scale 1-10 at the start of your program at SBU, after taking the relative core course(s), after passing the comprehensive exam. [QM at start]
Please rate your knowledge of the core physics subject on a scale 1-10 at the start of your program at SBU, after taking the relative core course(s), after passing the comprehensive exam. [SM at start]
Please rate your knowledge of the core physics subject on a scale 1-10 at the start of your program at SBU, after taking the relative core course(s), after passing the comprehensive exam. [EM after core course]	
Please rate your knowledge of the core physics subject on a scale 1-10 at the start of your program at SBU, after taking the relative core course(s), after passing the comprehensive exam. [QM after core course]
Please rate your knowledge of the core physics subject on a scale 1-10 at the start of your program at SBU, after taking the relative core course(s), after passing the comprehensive exam. [SM after core course]
Please rate your knowledge of the core physics subject on a scale 1-10 at the start of your program at SBU, after taking the relative core course(s), after passing the comprehensive exam. [EM after comprehensive exam]
Please rate your knowledge of the core physics subject on a scale 1-10 at the start of your program at SBU, after taking the relative core course(s), after passing the comprehensive exam. [QM after comprehensive exam]
Please rate your knowledge of the core physics subject on a scale 1-10 at the start of your program at SBU, after taking the relative core course(s), after passing the comprehensive exam. [SM after comprehensive exam]
Email Address
